,id,Cause,Object,Occupation
469,201071255,Caught in/between Objects,drill-shaft,foreman
470,200355626,Caught in/between Objects,no_object,supervisor
471,200262806,Struck By Moving Objects,boring-machine,no_occupation
472,202359386,Falls,machine-operator,no_occupation
473,200623460,Struck By Moving Objects,courthouse,no_occupation
474,200529535,Caught in/between Objects,reamer,reamer
475,170357545,Struck By Moving Objects,machine,laborer
476,201202082,Struck By Moving Objects,boring-machine,no_occupation
477,201124146,Caught in/between Objects,drill-bit,no_occupation
478,200604080,Falls,garage,no_occupation
479,201184017,Falls,no_object,no_occupation
480,202362554,Falls,no_object,coworker
481,202354718,Falls,no_object,foreman
482,201281821,Falls,no_object,no_occupation
483,201855319,Falls,water-tank,no_occupation
484,202329793,Falls,no_object,no_occupation
485,201853439,Falls,rope-broke,no_occupation
486,200600849,Falls,no_object,no_occupation
487,200083277,Caught in/between Objects,trench,no_occupation
488,200774008,Struck By Moving Objects,paving-equipment,doubleroller
489,200451581,Struck By Moving Objects,trench,no_occupation
490,200840403,Struck By Moving Objects,steel-tube,foreman
491,170618391,Struck By Moving Objects,no_object,no_occupation
492,200450286,Falls,rock,no_occupation
493,170117113,Struck By Moving Objects,rolling-boulder,no_occupation
494,170378285,Falls,rock,no_occupation
495,740183,Struck By Moving Objects,landrockslide,no_occupation
496,201182128,Caught in/between Objects,no_object,subcontractor
497,201120813,Caught in/between Objects,tool-box,no_occupation
498,14274195,Falls,no_object,worker
499,202545570,Falls,no_object,contractor
500,201185659,Falls,cart,ironworker
501,200151389,Caught in/between Objects,no_object,no_occupation
502,200996924,Falls,ladder,journeyman
503,200033181,Falls,scaffold,officer
504,202447587,Falls,elevator-shaft,supervisor
505,200220283,Caught in/between Objects,brace,no_occupation
506,202088548,Collapse of object,no_object,foreman
507,202498705,Falls,no_object,no_occupation
508,202316378,Falls,no_object,coworker
509,202658811,Falls,sustain,no_occupation
510,202545323,Falls,plywood,contractor
511,202509030,Falls,ladder,no_occupation
512,202470266,Struck By Moving Objects,trench,builder
513,201925369,Falls,stucco,contractor
514,200533545,Struck By Moving Objects,no_object,no_occupation
515,200625382,Struck By Moving Objects,bulkhead,no_occupation
516,201924388,Falls,no_object,no_occupation
517,202527990,Struck By Moving Objects,no_object,no_occupation
518,202527420,Falls,ladder,no_occupation
519,202341954,Falls,no_object,installer
520,202448569,Falls,no_object,no_occupation
521,201169679,Falls,scaffold,supervisor
522,202341913,Collapse of object,no_object,foreman
523,200151280,Other,platform,no_occupation
524,201045127,Falls,ladder,contractor
525,201205036,Falls,no_object,no_occupation
526,202713764,Falls,platform,contractor
527,201408606,Falls,nail-gun,no_occupation
528,202493839,Falls,no_object,homeowner
529,200926335,Falls,hemorrhage,contractor
530,170784243,Falls,no_object,coworker
531,200850469,Struck By Moving Objects,train-collision,no_occupation
532,202531497,Electrocution,arc-flash,contractor
533,202554572,Falls,ladder,owner
534,202522926,Struck By Moving Objects,no_object,breaker
535,202674909,Struck By Moving Objects,no_object,tender
536,202570065,Falls,no_object,no_occupation
537,202543922,Falls,no_object,no_occupation
538,201408564,Struck By Moving Objects,heart-attack,no_occupation
539,202655858,Falls,no_object,no_occupation
540,200360030,Caught in/between Objects,shoveling-mortar,no_occupation
541,200375780,Falls,no_object,owner
542,202471173,Falls,bricklayer,worker
543,201925542,Struck By Moving Objects,cardiac-arrest,laborer
544,200775971,Falls,no_object,contractor
545,200831485,Falls,no_object,no_occupation
546,201363330,Caught in/between Objects,elevator-shaft,sewer
547,202448973,Caught in/between Objects,brick,coworker
548,200624682,Collapse of object,bar-joist,no_occupation
549,200536068,Caught in/between Objects,bridge-girder,cramer
550,202691747,Struck By Moving Objects,bridge,loader
551,201510955,Electrocution,carbon-monoxide,no_occupation
552,202570362,Struck By Moving Objects,bridge-framework,painter
553,201510880,Struck By Moving Objects,track-skidsteer,magorian
554,202260840,Struck By Moving Objects,crane,no_occupation
555,202369435,Falls,bridge,no_occupation
556,201408523,Struck By Moving Objects,bus,foreman
557,202587713,Falls,iron,worker
558,202492872,Falls,bridge,no_occupation
559,200999217,Caught in/between Objects,beam,no_occupation
560,170784185,Falls,no_object,no_occupation
561,201088937,Falls,bridge,no_occupation
562,201486743,Falls,beam,no_occupation
563,170765184,Falls,no_object,no_occupation
564,201145109,Caught in/between Objects,bridge-formwork,foreman
565,201362100,Falls,no_object,no_occupation
566,201691078,Caught in/between Objects,cage-bridge,no_occupation
567,201271442,Struck By Moving Objects,rebar,no_occupation
568,202327532,Falls,no_object,no_occupation
569,896530,Falls,tie,footer
570,200920239,Struck By Moving Objects,bridge-column,no_occupation
571,200630101,Struck By Moving Objects,bridge,no_occupation
572,170812952,Caught in/between Objects,no_object,no_occupation
573,890368,Falls,platform,painter
574,827246,Struck By Moving Objects,bridge-beam,no_occupation
575,786673,Falls,steel-cage,no_occupation
576,14340376,Falls,bridge-tower,fender
577,14543623,Falls,bridge-pier,no_occupation
578,200264133,Caught in/between Objects,scene,no_occupation
579,200232494,Falls,no_object,no_occupation
580,200631729,Falls,bridge,coworker
581,200052736,Falls,no_object,coworker
582,200012391,Struck By Moving Objects,site,no_occupation
583,202087276,Caught in/between Objects,no_object,engineer
584,200031862,Falls,no_object,no_occupation
585,201271657,Falls,bridge,no_occupation
586,201406428,Falls,support-beam,no_occupation
587,200920676,Falls,protection,no_occupation
588,200641934,Falls,bridge,no_occupation
589,201094125,Falls,bridge,welder
590,201082328,Falls,falsework,no_occupation
591,897702,Falls,walkway,no_occupation
592,200260479,Falls,bridge-form,no_occupation
593,171056401,Falls,bridge-deck,coworker
594,170787618,Falls,support-beam,ironworker
595,200626174,Struck By Moving Objects,no_object,coworker
596,171062425,Caught in/between Objects,no_object,no_occupation
597,200460244,Caught in/between Objects,rock-crusher,parker
598,201992740,Falls,level,worker
599,201482015,Caught in/between Objects,bar,worker
600,170716583,Struck By Moving Objects,steel-bridging,no_occupation
601,200271872,Struck By Moving Objects,no_object,coworker
602,202499448,Falls,no_object,no_occupation
603,200676872,Falls,rise,breaker
604,201344496,Falls,gondola-cable,owner
605,200624047,Struck By Moving Objects,no_object,welder
606,201353141,Falls,tow,no_occupation
607,201059292,Caught in/between Objects,no_object,archer
608,201953957,Falls,truck-bucket,no_occupation
